id,category,original-instruction,original-context,original-response,new-instruction,new-context,new-response,external_id
14154,creative_writing,"Imagine you come across a time machine and that with this machine time travel is possible, however, you can only make one round trip to the past and back. What year would you travel to and why?",,"It would be tempting to go back in time to attempt to change or experience any number of events throughout history but I would not use the machine. I am afraid that any change to the past, no matter how small, could have unknown repercussions that spread through time and change the world as I know it, threatening those that I know and love and even my own existence.","{'user_id': array([None], dtype=object), 'value': array(['Imagine you come across a time machine and that with this machine time travel is possible, however, you can only make one round trip to the past and back. What year would you travel to and why?'],
      dtype=object), 'status': array(['submitted'], dtype=object)}","{'user_id': array([None], dtype=object), 'value': array([''], dtype=object), 'status': array(['submitted'], dtype=object)}","{'user_id': array([None], dtype=object), 'value': array(['It would be tempting to go back in time to attempt to change or experience any number of events throughout history but I would not use the machine. I am afraid that any change to the past, no matter how small, could have unknown repercussions that spread through time and change the world as I know it, threatening those that I know and love and even my own existence.'],
      dtype=object), 'status': array(['submitted'], dtype=object)}",
11682,information_extraction,"From the passage provided, extract the population of Bainbridge Island","Bainbridge Island is a city and island in Kitsap County, Washington. It is located in Puget Sound. The population was 23,025 at the 2010 census[8] and an estimated 25,298 in 2019,[9] making Bainbridge Island the second largest city in Kitsap County.

The island is separated from the Kitsap Peninsula by Port Orchard, with Bremerton lying to the southwest. Bainbridge Island is a suburb of Seattle, connected via the Washington State Ferries system and to Poulsbo and the Suquamish Indian Reservation by State Route 305, which uses the Agate Pass Bridge.","The population was 23,025 at the 2010 census","{'user_id': array([None], dtype=object), 'value': array(['From the passage provided, extract the population of Bainbridge Island'],
      dtype=object), 'status': array(['submitted'], dtype=object)}","{'user_id': array([None], dtype=object), 'value': array(['Bainbridge Island is a city and island in Kitsap County, Washington. It is located in Puget Sound. The population was 23,025 at the 2010 census and an estimated 25,298 in 2019, making Bainbridge Island the second largest city in Kitsap County.\n\nThe island is separated from the Kitsap Peninsula by Port Orchard, with Bremerton lying to the southwest. Bainbridge Island is a suburb of Seattle, connected via the Washington State Ferries system and to Poulsbo and the Suquamish Indian Reservation by State Route 305, which uses the Agate Pass Bridge.'],
      dtype=object), 'status': array(['submitted'], dtype=object)}","{'user_id': array([None], dtype=object), 'value': array(['The population was 23,025 at the 2010 census'], dtype=object), 'status': array(['submitted'], dtype=object)}",
7266,closed_qa,What is the most common air or gas mixture used in recreational scuba diving.,"For some diving, gas mixtures other than normal atmospheric air (21% oxygen, 78% nitrogen, 1% trace gases) can be used,[1][2] so long as the diver is competent in their use. The most commonly used mixture is nitrox, also referred to as Enriched Air Nitrox (EAN), which is air with extra oxygen, often with 32% or 36% oxygen, and thus less nitrogen, reducing the risk of decompression sickness or allowing longer exposure to the same pressure for equal risk. The reduced nitrogen may also allow for no stops or shorter decompression stop times or a shorter surface interval between dives. A common misconception is that nitrox can reduce narcosis, but research has shown that oxygen is also narcotic.[46][2]: 304","For most recreational diving atmospheric air with 21% oxygen and 78% nitrogen is used. The second most common mixture is Enriched Air Nitrox which contains extra oxygen with 32% or 36% and less Nitrogen than is found in atmospheric air, which permits divers to have shorter safety stops or shorter surface intervals.","{'user_id': array([None], dtype=object), 'value': array(['What is the most common air or gas mixture used in recreational scuba diving.'],
      dtype=object), 'status': array(['submitted'], dtype=object)}","{'user_id': array([None], dtype=object), 'value': array(['For some diving, gas mixtures other than normal atmospheric air (21% oxygen, 78% nitrogen, 1% trace gases) can be used, so long as the diver is competent in their use. The most commonly used mixture is nitrox, also referred to as Enriched Air Nitrox (EAN), which is air with extra oxygen, often with 32% or 36% oxygen, and thus less nitrogen, reducing the risk of decompression sickness or allowing longer exposure to the same pressure for equal risk. The reduced nitrogen may also allow for no stops or shorter decompression stop times or a shorter surface interval between dives. A common misconception is that nitrox can reduce narcosis, but research has shown that oxygen is also narcotic.:\u200a304'],
      dtype=object), 'status': array(['submitted'], dtype=object)}","{'user_id': array([None], dtype=object), 'value': array(['For most recreational diving atmospheric air with 21% oxygen and 78% nitrogen is used. The second most common mixture is Enriched Air Nitrox which contains extra oxygen with 32% or 36% and less Nitrogen than is found in atmospheric air, which permits divers to have shorter safety stops or shorter surface intervals.'],
      dtype=object), 'status': array(['submitted'], dtype=object)}",
6143,classification,"Classify the following games in ascending order of computational complexity: tic-tac-toe, chess, checkers, go",,"tic-tac-toe, checkers, chess, go","{'user_id': array([None], dtype=object), 'value': array(['Classify the following games in ascending order of computational complexity: tic-tac-toe, chess, checkers, go'],
      dtype=object), 'status': array(['submitted'], dtype=object)}","{'user_id': array([None], dtype=object), 'value': array([''], dtype=object), 'status': array(['submitted'], dtype=object)}","{'user_id': array([None], dtype=object), 'value': array(['tic-tac-toe, checkers, chess, go'], dtype=object), 'status': array(['submitted'], dtype=object)}",
14684,open_qa,"In the series A Song of Ice and Fire, who is the founder of House Frey?",,Emmon Frey,"{'user_id': array([None], dtype=object), 'value': array(['In the series A Song of Ice and Fire, who is the founder of House Frey?'],
      dtype=object), 'status': array(['submitted'], dtype=object)}","{'user_id': array([None], dtype=object), 'value': array([''], dtype=object), 'status': array(['submitted'], dtype=object)}","{'user_id': array([None], dtype=object), 'value': array(['Emmon Frey'], dtype=object), 'status': array(['submitted'], dtype=object)}",
4904,general_qa,"It really depends on where you will ride the bicycle, how often you will use it, if the bicycle be used for competing or pleasure and your body type. One more thing to consider will be the budget you want to invest for the bicycle.",,"More than just the budget you should also consider the purpose of the bicycle - pleasure or compete and your body size. If you consider it for pleasure my suggestion would be to search online the different models and have a look of them into a shop, try the bicycle and then find the best price.","{'user_id': array([None], dtype=object), 'value': array(['It really depends on where you will ride the bicycle, how often you will use it, if the bicycle be used for competing or pleasure and your body type. One more thing to consider will be the budget you want to invest for the bicycle.'],
      dtype=object), 'status': array(['submitted'], dtype=object)}","{'user_id': array([None], dtype=object), 'value': array([''], dtype=object), 'status': array(['submitted'], dtype=object)}","{'user_id': array([None], dtype=object), 'value': array(['More than just the budget you should also consider the purpose of the bicycle - pleasure or compete and your body size. If you consider it for pleasure my suggestion would be to search online the different models and have a look of them into a shop, try the bicycle and then find the best price.'],
      dtype=object), 'status': array(['submitted'], dtype=object)}",
4123,creative_writing,I need some ideas for a first date.,,"-  Dinner at your favorite pizzeria 
- A walk around a local park
- Mid-afternoon coffee at a local coffee shop
- Tour a museum","{'user_id': array([None], dtype=object), 'value': array(['I need some ideas for a first date.'], dtype=object), 'status': array(['submitted'], dtype=object)}","{'user_id': array([None], dtype=object), 'value': array([''], dtype=object), 'status': array(['submitted'], dtype=object)}","{'user_id': array([None], dtype=object), 'value': array(['-  Dinner at your favorite pizzeria \n- A walk around a local park\n- Mid-afternoon coffee at a local coffee shop\n- Tour a museum'],
      dtype=object), 'status': array(['submitted'], dtype=object)}",
12112,brainstorming,What ingredients do i need to make sour dough bread,,"Main ingredient is sour dough starter. You also need flour, water and salt.","{'user_id': array([None], dtype=object), 'value': array(['What ingredients do i need to make sour dough bread'],
      dtype=object), 'status': array(['submitted'], dtype=object)}","{'user_id': array([None], dtype=object), 'value': array([''], dtype=object), 'status': array(['submitted'], dtype=object)}","{'user_id': array([None], dtype=object), 'value': array(['Main ingredient is sour dough starter. You also need flour, water and salt.'],
      dtype=object), 'status': array(['submitted'], dtype=object)}",
8814,open_qa,What is a beard?,,A beard is a facial hair style that grows under the nose and on the cheeks as well as on and under the chin.,"{'user_id': array([None], dtype=object), 'value': array(['What is a beard?'], dtype=object), 'status': array(['submitted'], dtype=object)}","{'user_id': array([None], dtype=object), 'value': array([''], dtype=object), 'status': array(['submitted'], dtype=object)}","{'user_id': array([None], dtype=object), 'value': array(['A beard is a facial hair style that grows under the nose and on the cheeks as well as on and under the chin.'],
      dtype=object), 'status': array(['submitted'], dtype=object)}",
9991,open_qa,How many canals are in Amsterdam?,,"There are a total of 14 canals in Amsterdam, including the Singel, Herengracht, Keizersgracht, and Prinsengracht canals.","{'user_id': array([None], dtype=object), 'value': array(['How many canals are in Amsterdam?'], dtype=object), 'status': array(['submitted'], dtype=object)}","{'user_id': array([None], dtype=object), 'value': array([''], dtype=object), 'status': array(['submitted'], dtype=object)}","{'user_id': array([None], dtype=object), 'value': array(['There are a total of 14 canals in Amsterdam, including the Singel, Herengracht, Keizersgracht, and Prinsengracht canals.'],
      dtype=object), 'status': array(['submitted'], dtype=object)}",
3695,classification,"Identify which instrument is string or percussion: Gbedu, Guitalele",,"Guitalele is string, Gbedu is percussion.","{'user_id': array([None], dtype=object), 'value': array(['Identify which instrument is string or percussion: Gbedu, Guitalele'],
      dtype=object), 'status': array(['submitted'], dtype=object)}","{'user_id': array([None], dtype=object), 'value': array([''], dtype=object), 'status': array(['submitted'], dtype=object)}","{'user_id': array([None], dtype=object), 'value': array(['Guitalele is string, Gbedu is percussion.'], dtype=object), 'status': array(['submitted'], dtype=object)}",
1218,information_extraction,Extract the most recent owner from the following Wikipedia paragraph.,"Owners
Further information: Category:Seattle Storm owners
Barry and Ginger Ackerley, owners of the Seattle SuperSonics (2000–2001)[43][44]
Howard Schultz, owner of the Seattle SuperSonics (2001–2006) [45]
Clay Bennett, owner of the Seattle SuperSonics (2007) [45]
Force 10 Hoops LLC, composed of Dawn Trudeau, Lisa Brummel, Ginny Gilder (2008–present)[46]","The current owner of the Seattle Storm is Force 10 Hoops LLC, which is composed of Dawn Trudeau, Lisa Brummel, Ginny Gilder. They have owned the Seattle Storm since 2008.","{'user_id': array([None], dtype=object), 'value': array(['Extract the most recent owner from the following Wikipedia paragraph.'],
      dtype=object), 'status': array(['submitted'], dtype=object)}","{'user_id': array([None], dtype=object), 'value': array(['Owners\nFurther information: Category:Seattle Storm owners\nBarry and Ginger Ackerley, owners of the Seattle SuperSonics (2000–2001)\nHoward Schultz, owner of the Seattle SuperSonics (2001–2006) \nClay Bennett, owner of the Seattle SuperSonics (2007) \nForce 10 Hoops LLC, composed of Dawn Trudeau, Lisa Brummel, Ginny Gilder (2008–present)'],
      dtype=object), 'status': array(['submitted'], dtype=object)}","{'user_id': array([None], dtype=object), 'value': array(['The current owner of the Seattle Storm is Force 10 Hoops LLC, which is composed of Dawn Trudeau, Lisa Brummel, Ginny Gilder. They have owned the Seattle Storm since 2008.'],
      dtype=object), 'status': array(['submitted'], dtype=object)}",
2811,brainstorming,Who are some important people in U.S. history that everyone should know about?,,"Here are some important people in U.S. history:
* John Brown, an abolitionist who led a failed slave revolt in what is now West Virginia, and was executed for doing so.
* Henry George, who popularized the concepts of land value taxation (LVT) and universal basic income (UBI). His most famous work is a book called Progress and Poverty.
* Thurgood Marshall, who was a justice of the Supreme Court. Prior to his appointment, he successfully argued against segregation in education in the case Brown v. Board of Education of Topeka.
* Bayard Rustin, a civil rights activist.
* Scott Wiener, a state senator in California who has authored legislation that makes it easier to build housing.
* Stanley Chang, a state senator in Hawaii who has similarly been vocally supportive of increasing the supply of housing.
* Ilhan Omar, a member of the U.S. House of Representatives.","{'user_id': array([None], dtype=object), 'value': array(['Who are some important people in U.S. history that everyone should know about?'],
      dtype=object), 'status': array(['submitted'], dtype=object)}","{'user_id': array([None], dtype=object), 'value': array([''], dtype=object), 'status': array(['submitted'], dtype=object)}","{'user_id': array([None], dtype=object), 'value': array(['Here are some important people in U.S. history:\n* John Brown, an abolitionist who led a failed slave revolt in what is now West Virginia, and was executed for doing so.\n* Henry George, who popularized the concepts of land value taxation (LVT) and universal basic income (UBI). His most famous work is a book called Progress and Poverty.\n* Thurgood Marshall, who was a justice of the Supreme Court. Prior to his appointment, he successfully argued against segregation in education in the case Brown v. Board of Education of Topeka.\n* Bayard Rustin, a civil rights activist.\n* Scott Wiener, a state senator in California who has authored legislation that makes it easier to build housing.\n* Stanley Chang, a state senator in Hawaii who has similarly been vocally supportive of increasing the supply of housing.\n* Ilhan Omar, a member of the U.S. House of Representatives.'],
      dtype=object), 'status': array(['submitted'], dtype=object)}",
13072,classification,"Classify each of the following as straight or curved: banana, baseball bat, hook, rainbow, convex lens, ruler",,"Banana: Curved
Baseball Bat: Straight
Hook: Curved
Rainbow: Curved
Convex Lens: Curved
Ruler: Straight","{'user_id': array([None], dtype=object), 'value': array(['Classify each of the following as straight or curved: banana, baseball bat, hook, rainbow, convex lens, ruler'],
      dtype=object), 'status': array(['submitted'], dtype=object)}","{'user_id': array([None], dtype=object), 'value': array([''], dtype=object), 'status': array(['submitted'], dtype=object)}","{'user_id': array([None], dtype=object), 'value': array(['Banana: Curved\nBaseball Bat: Straight\nHook: Curved\nRainbow: Curved\nConvex Lens: Curved\nRuler: Straight'],
      dtype=object), 'status': array(['submitted'], dtype=object)}",
9332,creative_writing,Write a short story about a person who discovers a hidden room in their house. The story should include a plot twist and a clear resolution at the end.,,Write a short story about a person who discovers a hidden room in their house. The story should include a plot twist and a clear resolution at the end.,"{'user_id': array([None], dtype=object), 'value': array(['Write a short story about a person who discovers a hidden room in their house. The story should include a plot twist and a clear resolution at the end.'],
      dtype=object), 'status': array(['submitted'], dtype=object)}","{'user_id': array([None], dtype=object), 'value': array([''], dtype=object), 'status': array(['submitted'], dtype=object)}","{'user_id': array([None], dtype=object), 'value': array(['Write a short story about a person who discovers a hidden room in their house. The story should include a plot twist and a clear resolution at the end.'],
      dtype=object), 'status': array(['submitted'], dtype=object)}",
2539,classification,"Classify each of the following as being opaque or transparent: Window, wall, lens, glass, wood, cement",,"Window: Transparent
Wall: Opaque
Lens: Transparent
Glass: Transparent
Wood: Opaque
Cement: Opaque","{'user_id': array([None], dtype=object), 'value': array(['Classify each of the following as being opaque or transparent: Window, wall, lens, glass, wood, cement'],
      dtype=object), 'status': array(['submitted'], dtype=object)}","{'user_id': array([None], dtype=object), 'value': array([''], dtype=object), 'status': array(['submitted'], dtype=object)}","{'user_id': array([None], dtype=object), 'value': array(['Window: Transparent\nWall: Opaque\nLens: Transparent\nGlass: Transparent\nWood: Opaque\nCement: Opaque'],
      dtype=object), 'status': array(['submitted'], dtype=object)}",
